Isotope;0cm 1;0cm 2;0cm 3;2cm 1;2cm 2;2cm 3;4cm 1;4cm 2;4cm 3;6cm 1;6cm 2;6cm 3;8cm 1;8cm 2;8cm 3;10cm 1;10cm 2;10cm 3;0cm avg;2cm avg;4cm avg;6cm avg;8cm avg;10cm avg
Na22;9971;10018;10035;9383;9392;9513;7892;7976;8122;6272;6281;6415;4707;4822;4873;3719;3737;3752;10008;9429,333333;7996,666667;6322,666667;4800,666667;3736
C11;4341;4404;4444;4134;4176;4198;3637;3679;3744;2946;2982;3010;2240;2344;2370;1855;1901;1945;4396,333333;4169,333333;3686,666667;2979,333333;2318;1900,333333
F18;8102;8244;8413;7692;7710;7722;6631;6706;6769;5207;5215;5259;4035;4041;4114;3135;3150;3267;8253;7708;6702;5227;4063,333333;3184
O15;1413;1436;1589;1354;1372;1380;1208;1211;1282;985;1009;1063;780;781;844;675;690;718;1479,333333;1368,666667;1233,666667;1019;801,6666667;694,3333333
;;;;;;;;;;;;;;;;;;;;;;;;
Isotope;25mm 1;25mm 2;25mm 3;50mm 1;50mm 2;50mm 3;75mm 1;75mm 2;75mm 3;100mm 1;100mm 2;100mm 3;25mm avg;50mm avg;75mm avg;100mm avg;;;;;;;;
Na22;9693;9727;9777;9402;9420;9453;8548;8553;8814;7926;8033;8068;9732,333333;9425;8638,333333;8009;;;;;;;;
C11;4255;4408;4466;4101;4194;4235;3809;3818;3949;3500;3661;3695;4376,333333;4176,666667;3858,666667;3618,666667;;;;;;;;
F18;7903;7963;8112;7517;7621;7623;7177;7211;7245;6638;6660;6800;7992,666667;7587;7211;6699,333333;;;;;;;;
O15;1358;1479;1486;1346;1396;1423;1289;1294;1306;1221;1223;1224;1441;1388,333333;1296,333333;1222,666667;;;;;;;;
